Designator,Footprint,Quantity,Value,LCSC Part #
,,1,,
C1,CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder,1,100uF,
"D1, D10, D11, D12, D13, D14, D15, D2, D3, D4, D5, D6, D7, D8, D9",1206,15,LED,
DC_CONVERTER1,MH-MINI-360,1,~,
J1,PinHeader_1x01_P2.54mm_Vertical,1,Run_in+,
J10,PinHeader_1x01_P2.54mm_Vertical,1,Reverse_in+,
"J11, J8",PinHeader_1x01_P2.54mm_Vertical,2,ground_in,
J12,PinHeader_1x01_P2.54mm_Vertical,1,LED_Low_V+,
J13,PinHeader_1x01_P2.54mm_Vertical,1,Run_,
J14,PinHeader_1x01_P2.54mm_Vertical,1,Turn_,
J15,PinHeader_1x01_P2.54mm_Vertical,1,Reverse_,
J16,PinHeader_1x01_P2.54mm_Vertical,1,ground_,
J2,PinHeader_1x01_P2.54mm_Vertical,1,Brake_in+,
J3,PinHeader_1x01_P2.54mm_Vertical,1,Turn_in+,
J4,PinHeader_1x01_P2.54mm_Vertical,1,Run_out+,
J5,PinHeader_1x01_P2.54mm_Vertical,1,Reverse_Out,
J6,PinHeader_1x01_P2.54mm_Vertical,1,Turn_out+,
J7,PinHeader_1x01_P2.54mm_Vertical,1,ground_out,
J9,PinHeader_1x01_P2.54mm_Vertical,1,9v_in,
K1,Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z,1,Brake_Relay,
K2,Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z,1,Turn_Relay,
K3,Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z,1,Reverse_Relay,
K4,Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z,1,Running_Relay,
"R1, R2",1206,2,4700,
"R10, R11, R12, R13, R3, R4, R5, R6, R8, R9",1206,10,330,
R7,1206,1,100,
U1,DIP-8_W7.62mm,1,NE555P,
